prej_1,prej_2,prej_3,prej_4,prej_5,prej_6,prej_7,prej_8,prej_9,prej_10,prej_11,prej_12,prej_13,prej_14,prej_15,prej_16,prej_17,prej_18,prej_19,prej_20,prej_21,prej_22,prej_23,prej_24,prej_25,prej_26,prej_27,prej_28,prej_29,prej_30,prej_31,prej_32,prej_33,prej_34,prej_35,prej_36,prej_37,prej_38,prej_39,prej_40,prej_41,prej_42,prej_43,prej_44,prej_45,prej_46,prej_47,prej_48,prej_49,prej_50,prej_51,prej_52,prej_53,prej_54,prej_55,prej_56,prej_57,prej_58,prej_59,prej_60,prej_61,prej_62,prej_63,prej_64,prej_65,prej_66,prej_67,prej_68,prej_69,prej_70,prej_71,prej_72,prej_73,prej_74,prej_75,prej_76,prej_77,prej_78,prej_79,prej_80,prej_81,prej_82,prej_83,prej_84,prej_85,prej_86,prej_87,prej_88,prej_89,prej_90,prej_91,prej_92,prej_93,prej_94,prej_95,prej_96,prej_97,prej_98,prej_99,prej_100,prej_101,prej_102,prej_103,prej_104,prej_105,prej_106,prej_107,prej_108,prej_109,prej_110,prej_111,prej_112,prej_113,prej_114,prej_115,prej_116,prej_117,prej_118,prej_119,prej_120,accept_1,accept_2,accept_3,accept_4,accept_5,accept_6,accept_7,accept_8,accept_9,accept_10,accept_11,accept_12,accept_13,accept_14,accept_15,accept_16,accept_17,accept_18,accept_19,accept_20,accept_21,accept_22,accept_23,accept_24,accept_25,accept_26,accept_27,accept_28,accept_29,accept_30,accept_31,accept_32,accept_33,accept_34,accept_35,accept_36,accept_37,accept_38,accept_39,accept_40,accept_41,accept_42,accept_43,accept_44,accept_45,accept_46,accept_47,accept_48,accept_49,accept_50,accept_51,accept_52,accept_53,accept_54,accept_55,accept_56,accept_57,accept_58,accept_59,accept_60,accept_61,accept_62,accept_63,accept_64,accept_65,accept_66,accept_67,accept_68,accept_69,accept_70,accept_71,accept_72,accept_73,accept_74,accept_75,accept_76,accept_77,accept_78,accept_79,accept_80,accept_81,accept_82,accept_83,accept_84,accept_85,accept_86,accept_87,accept_88,accept_89,accept_90,accept_91,accept_92,accept_93,accept_94,accept_95,accept_96,accept_97,accept_98,accept_99,accept_100,accept_101,accept_102,accept_103,accept_104,accept_105,accept_106,accept_107,accept_108,accept_109,accept_110,accept_111,accept_112,accept_113,accept_114,accept_115,accept_116,accept_117,accept_118,accept_119,accept_120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,15.5,,,0,0,70.6,97.3,,100,,,,65.4,91.5,,1,,,0,,,,74.1,,,82.7,33,,,0.1,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,79.9,,,25.2,,99.3,,,,,,,,,,,,,,,,,,,,1.1,,10.4,,,,,,6.6,,,15.5,,0,0,,,,,,1,0,,,,,73.8,,,,,,,63,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,29.7,,,,,94.1,,,,,36.5,,,100,,,,,,1.5,11.3,,,,,,,,,70.8,,23.9,,,,43,64.4,,,,,,,,,,68.3,,43.4,,,,14.9,,,,,74.8,,50,,,,,25.1,,,46.9,39.9,15.1,65.5,,,,,,,,,,,80.4,,,46.9,8.6,,,,,,,67.5,,,,,,,12.4,42.5,,,,,26.8,,3.9,,,40.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.1,,,,1,,,17.6,,1,1,,,,,,,,,,,1,,,,,,,,1,18.6,,47.7,,1,,,,,1,1,,1,,,,,,,1,1,1,,,,1,1,,1,1,,,1,,,14.6,1,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,1,,,48.7,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,50.6,,,51.4,,51.5,,,52.7,,,50.1,,51.3,,51,,,,,,53,,,51,,,,51.4,,,,,,,51.8,,,,,,50.7,49.9,,,,,,,,50.1,,,,,,,,,,52.1,,53,,53.1,,,,,52,,51.3,,51.8,,52.8,,50.6,,49,,,,,52.5,,,,,,,,,52.5,,,51.7,52.4,,,,,52.8,,50,,
,,,,,,,,,,,,,70.4,0,96.2,,90.6,,,0,,,,,,,,,,85.9,,,,,95.1,,,,,35.1,0,85.5,,,,,,87.2,,,96.1,95.8,,,49.2,,,85.9,,,,,,,,95.9,0,,,,80.4,71.5,,,,,,,,70.4,,,,,,,70.1,,,,75.5,,75.1,97.5,,,,80.8,,,,96.3,,,100,,,,,,,,,50.8,,,,95.2,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9.6,,82.4,71.1,79.7,,0,,,,,,,58,,,,81.5,,,,,16.1,,0,,,,50.7,,,,,,,,,,,,,87.5,69.9,63.2,,,,,,94.9,,,89.3,,,,,76.9,,,,,,,94.5,,78.5,0,,,36.1,,,,72,,,95.2,,,,,,72.4,,74.8,,,,70.6,,,,0,,,,72.7,67.6,,,48.3,,,,,,,,,,,,,,,80.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5,,,100,,100,,,,,,100,,100,,100,,100,100,,,100,,,100,100,,100,100,,100,100,100,,,,,,,100,,,,,100,,,,,,,,,,100,,100,,,,,,,,,100,,,,,,,100,,,,,,,,,,100,,,,,,,,100,,,,,,,,,,,100,,,,,100,,,100,,,100,,100,,100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,,,,100,,,,67.7,,,,,10.4,23.2,,,,53.4,96.5,,,,,,,,,,,100,100,3.8,100,,,,,,,,96.2,8.5,,,,,,,52.7,,,,,99.2,,,,,,,,,100,100,,,,,,,,,,,100,,100,,,,79.6,,,,,,,,31,73.7,43.7,100,100,,,65.1,,,,100,100,33.1,72,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,100,100,,,100,,,,,100,,100,,,100,,,100,,,100,,100,,,,,,100,,100,,,,,,100,,,100,99.9,,,100,,,100,,100,,,,,,,,,100,,,,100,12.7,,100,,,100,,,,,,100,,,100,,,100,,,,,,100,,,,,100,,,,100,,,,,100,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.5,0,,0,,,,,0,,,0,0,100,,,,,,,,,,,,,,,,0,,,,,,,0,0,,31.7,,,0,,,0,,,0,0,0,0,,0,0,,,,,,,,,0,12.4,,0,,49,,,,,0,,,,,,,0,,,,,,,,50.1,,,,,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,
,,,,83.4,,,34.5,0,,67.7,,81.5,,,,79.7,,,,83.2,,,,,,0,47.9,,,,,,57.2,,,,,,,3.5,,,,28.6,,61.8,,,45.5,,,,,,39.9,,79.2,,81.8,,,,,,,68,83,,,,83,,,,,,83.2,,,,,,40.6,,85.4,,73.9,,,,,,,,,82.5,80,80.1,,,,,,,,83.4,81.4,,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.7,,,4.6,,,,,,,,,,,75.8,,,,32.3,51.1,,92.7,,,,,,,,0,43.9,,,,3.5,,,,,73.7,81.5,,,,,42.3,,,,,,0,32,,76.3,,53.1,,25.8,,45.1,,,,,,,,87.7,,,49.4,,,28.3,,,,,,,47.3,36.9,,1,,,71,,,,,,,,23.8,,,,,,,3.2,,0,0,,,,,,,,,96.1,,,,
,,,,,,,30.8,,,,,,,,,57.3,,,53.1,,,,28,,,,,100,52,,,45.4,,,,1.4,52.4,60.4,43.2,,,,,52,,51.4,,,,,,,,,,,,,52.4,51.1,81.5,,,,51.5,,,,1.4,,,,,73.8,,,50.8,,,,,,,,63.9,,,,,51.3,,2.8,63,,,71.3,,51.7,,,,,50.8,,,,,,33.7,,,,73.2,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.3,,,,,,60.1,,,51.3,,,,,,,59.6,54.2,,,61.8,,,,,,,53.8,,,,,,64.8,,,,,,,,,,,55.4,55.8,58.9,,,,63.4,,,,,,,56.8,57.2,39.2,63.8,,,,,,,,58.7,,,57,,62.7,,,,40.1,,47.3,,,,,,,,,53.8,59.3,43.1,,,,56.1,57.5,,,,,,,58.3,,,,,,,,,49.6,59.6,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,42.3,,,,,,,39.7,,,,48.5,0,,,,54.9,,56.2,53.1,0,18.7,,,,,,,,,,,,,,,,0,,,52.8,,,,,,,,,55.2,57.9,,,,,,,,,54.6,,46.6,,25.2,,,,,,,,,,54.5,,,51.7,,,,53.5,,,,,,,,0,,,,,,,,,53.2,,53.8,73.8,54.5,53.2,,53.5,53.7,,,,42.7,,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.8,,37.3,,50.3,,,29.4,,,,,62.5,,,,,,50.6,45.8,,,,,,,,,,,,65.4,,49,,50.3,,50.3,24.8,0,,,,50.8,,,,,,,,,61.5,37.9,49.2,,,,73.9,,12.8,,,38.9,,14.2,92,,,9.3,,,,,76.1,,,51.4,,,,,,,,,,,,,,33.7,,,,,,,,,,,,,,,,,,44.4,,,48.9,32.3,,,,,65.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,90.1,,,,,,,67.2,,17,,49,84.2,,100,,9.6,,,,11.5,,,50.1,,84.2,,,,,61.7,,,,,,,,55.6,65.2,82.5,,,0,,,100,,,,62.5,4.5,,6.5,,,,87.7,,,,,,,,,,,,35.2,,,,,,,,,,18.9,,,,,,,,,,0,,,,11.5,,,80.3,,0,,,,,,,,58.2,,,16.2,,82.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5,,,,,,,92.5,,,,,,,,,,,66.9,100,,,,100,100,,,,,,,82.7,,,,0.8,,,,,,,,,,,,100,,63,,,,100,,,,,,,,,,,,,,,,100,82.7,,,,,,,,93.1,,,100,,1.1,,29.7,1.1,,,0.3,,50.7,99.9,,,,100,,76.1,100,100,,,,87,19,,,,,,33.1,100,92.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,100,0,,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,0,0,,,,0,,,,,,0,,,,0,,9.2,30.8,0,,,,0,,,,,0,,,,,0,,16.2,0,0,,,,,,,,0,,,,0,,0,,0,,0,,0,,,,,89,,,,,,,,
100,,51,51.3,,,50.7,,0,,,25.6,100,,,,90.3,,50.7,,25.4,,,,,,0,,100,,,,,,,80.3,0,74.9,24.9,,,,,,,,,,,,,,,,78,89.3,52.4,,,,,,,,,,,,,0,,,76.2,,,,,76.5,,52.8,,,,,,,89.3,50.7,,0,,,,,,,,100,,,,,,,,,,100,,,,0,,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,50,,50,,,,,,,,,,,,50,,,,35.6,,,,,,,45.1,55.4,50,50,50,,40.1,50,49.7,0,,,,30.3,,50,50,,,50,,,,,77.2,,,,,,,,,,,,50,,,,,,0,,,,,,,,50.1,,,,47,,,,,,50,90.4,,,,,,50,,,,50,50,,,,,,,,55.2,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,50.7,,,,,26.8,,18,,84.8,,,0,29.2,,,,84.2,,,,,,,,,0,61.7,24.9,,36.5,22.4,,,85.5,,,,,,,,,80.7,,8.9,,,,,50.8,9.3,,,,13.1,28.9,,,4.5,,,,,,,84.5,,,,93.2,,,,,,,,,,,,,,,,,,,50.3,50,,84.1,,,,,,,50.1,43.5,,,,,,84.2,,84.1,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.8,21.4,,,88.3,,90.3,,,49.7,,,,,,,,,,,75.5,,22.7,73.7,,71.3,38,87.3,,,,,,,84.5,,,,,,,,,,,,,,88.5,,42.5,,,,,,,,,,,,,,,17.5,,,,10.7,65.8,,,,,93.8,76.6,,,,99.4,63.7,,78.3,82.3,,,,,,,,,96.9,,,,86.2,,,,,,92.5,84.2,,,,,,,61.4,,79.7,67.6,,,,,
,3.1,,,,,,15.8,,,,4.8,,,,,65.1,,40,,40.4,43.4,,,,39.4,,,90.4,,,,60,,,,,,,0,,1,,75.9,,20,,40,70.6,,,,,,70.7,,,65.9,,,10,,,,,,,,,,,,,2,,,,,77.9,,,,,,,,,,47.5,,,,,,,,,,,,,49.7,,,57.6,,40,,,35.2,,,2.1,95.6,12.7,,,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,41,,,,,,51,,,,51.4,,,,,51.4,,,,,36.1,,,,,10.8,,,30.4,49.6,,,,,,,,,52.3,51.4,,,50.8,,49.7,,,63.9,,,54.9,,10.3,49.9,,,,53.4,,,,,,,,,,,,,,52.4,73,60.7,,52.4,,0,58.7,,53.1,,,,,,52.5,,,,,51.8,68.3,51.7,,,,,,,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.2,,20.3,,,,,,1.1,11.8,,,81.7,,1,,,,,92.8,,79.9,7.7,95.4,,,,,,,,,,,,,,91.4,,,,,,,,,,,,,,87.6,,,,,,95.8,79.2,,69.4,,,,,,,,,1,,,,,87.3,,,,11.1,,1,,,,,,,,92.1,1,,13,,97.5,,,,,,,,75.5,,,49.9,,81.1,,,,,,,,,70.4,85.9,80.6,,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.5,,,43.5,,,,,,,,,,,,,,,38.7,,,38.5,0,45.2,,,0,,,,,80.7,,,,51.1,,,,,,0,,50,,,37.9,58.7,,,,49.6,,33.4,,,50.3,51.7,37.9,,,,,,,,,,,,,,,,,50.3,,57.9,,,,,,,,,,,,,,,,,,,86.3,28.6,,37.3,,,,38.6,,,,49.9,,,,24.9,,,,23.2,49.9,50.4,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9,18.9,,13.1,92.8,98,,,,,84.1,100,70.1,8.3,,,,,,,,,,,51.4,,,18.5,,,,,,100,,,,,,,,,,,,,,,6.3,,97,19,,,,,,62,38.6,,,,94.5,,,,,,,5.8,81.4,,,,,,,,82,,,,,,,,,,86.5,,,,,,10,,,,,,,4.8,1.4,14.1,,,,,52.5,,,,,,90.1,5.6,86.1
,3.2,75.3,100,,100,,,0,,,,100,,0.5,,100,,,100,76.5,,0.7,,,,,,,,,,,,100,,,,,,,24.3,,100,,3.1,,,79.1,,,,,,,,89.4,,100,,,100,,,,,,,,,94.9,100,,,,100,100,92.2,,,100,,,,,,,,,,,,,100,,,,,,96,,99.8,100,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15.6,,,,,,1,,70.3,,,,1,,,,,,,,,,,85.6,,51.8,,78.6,,,65.2,,,,,,,,,,,,57.5,66.1,,,,64.9,60.4,,,,65.6,,,84.5,,,,,,,,,80,94.1,,,,,,,,,,,1,,,67.2,,84.6,,,,,,,,11.1,1,64.4,,1,,,86.8,,55.9,,,,,,80.1,,66.5,,,,,,46.3,89.7,,,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,84.5,,,,,,,,,0,,,,77.7,90.4,,83.4,,79.4,,,12.4,88.2,,,,,,48.5,,,,,,,,,97.7,,,,,,46.9,,58.9,,,,,,98.6,90.6,92.3,,82.8,,,,,,,,,,94.6,,48.5,,,94.8,,,38.7,,,61.5,,75.4,,84.5,,,,,,,,,,,,,,,70.6,79.4,,41.8,52.7,,92.4,,,,,,25.4,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,,,,78.7,,53.5,,100,,54.2,100,24.5,52.4,,,,,,52.7,,,,,51.8,,,,,0,,,,,24.9,,,,,,54.5,,,,,,,25.5,,,,,,,53.9,,53.5,,,53.5,,,,,,,25.5,,,100,,52.5,,,,,,,,23.9,,,100,79,,,,51.8,,,,100,,,,,,,,,,,,80.3,,,,24.2,,100,,,,,,52.8,,,79.9,
,,83.1,,,82.8,82.8,,,,,,,,0,,,,,,,,0,,,83.5,39.7,83.2,,82.5,83.5,,,,,,0,83.4,,,,,,83.9,,82.3,,,,,,,,,83.2,,83.8,,83.2,,,,,,,,,50,83.5,0,,,,,,,83.8,,,82.5,,,,,83.1,,,,,0,73,,,,,,,81.5,,,,83.1,,,,,,,,,,69.4,,,,,,,89.6,83.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,84.1,,60,,52.7,,,71.4,,50.4,90.4,0,,82.8,,,71.4,,,95.1,94.2,,,51.1,,0,64.6,,,,,,,,55.6,,52.8,,,,,,,,,,,70.7,,,,,,,,48.7,,,,90.8,,,,,,,78.3,88.7,,,,83,,,58.9,,,,,,,,,,,,87.7,,68.9,,,,85.2,80.3,,,,,,45.4,1,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.1,33.9,,50.6,50.6,100,89.4,,,,,0,,,0,,,95.2,,,,,0,,,,,,95.5,94.8,,90,,,,,,,,,,,95.2,,,50.6,,,,50.6,,,,,,,,50.6,,,,,,,,,,50.6,,,,,,,,50.6,,,,,,51,,,100,93.2,,50.6,,,,,,90.6,,,,,50.7,,50.7,,,,,,95.2,,,21.1,,,,95.8,,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.4,,,,,,53.2,64.4,,,,,3,,55.6,,,4.5,,3.8,,,,,,,,3.2,,,2.3,3.5,54.1,,4.2,,,2.5,100,,,,3.8,3.5,2.4,,3,51.4,,,,3,52.4,,,,,,,2,,,,,,1.7,50.7,,51.1,,,,,,,,,,2.1,,,,,,4.1,,,,,,,,,3,,,,,,2.1,,,,,,,,,,,,,,,,4.1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,17.6,,,46.1,82,,,28.2,17.5,2.7,,100,,,,25.9,,,,,,,,,,,,,0,43.1,,,,,,,,,95.1,,,,,,40.3,,,,,10,4.2,,,,,,,,41.8,,,,74.5,5.6,,,,,4.8,50.3,89,0,,23.7,,,,10.6,,,,,,,,,,100,,,28.3,19.3,,,,,,,20.8,,,,,,,,,,,15.8,,66.8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,0,,,,,,,,75.4,47.2,,,,,,0,,,,,,,,0,,0,,,51.8,,,,,,,0,74.6,100,,,,,,,,,,66.9,,,,,,,0,,,,,0,0,,,,,100,,100,68.6,78,,,,,75.8,,60.6,,,,,,,,0,,,,,0,0,100,,0,0,,,,,,100,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,,0,,,,0,0,,100,,,,,0,,,100,0,,,,,,0,0,,0,,0,,100,,,,,,,0,,,,,,0,0,,0,,,,0,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,,0,,,0,,,0,,0,,,,,,,,,,,,,,0,,,,,,,0,,0,,,
,,,55.4,,,36.5,,,,,,,,,42.7,72,,,35.5,,,,,,,,,,,,39.2,,,,,,,,,39.4,,,,,49.7,,47.7,,,,,41.3,,70.6,86.2,,,,,,83.9,,,,61,53.1,,,69.7,,,,,42,,,,,54.8,,80.7,,64.2,,67.3,,41.4,61.7,,,,63.1,,29.2,,,,21.3,,,,,,,,55.5,,,,60.1,,,65.8,54.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,,,0,,,,,,,23.7,,1,,,,,13,0,100,,,0,93.1,,0,,,,,,,,,,,,,88.7,0,,,,,,,,75.8,,2.5,,,,,,,,1,,,0,,,,,,,,10.4,,,,,,0,28,0,56.1,,,,,1.4,,,,,,26.6,,,,,,,,,,0,,,,,0,,,21.5,,,23.8,6.1,,,0,53.4,,
